Date	Hour	Tmax(C)	Tmin(C)	ET0	Rain(mm)
2021-06-11	12:30:40	21.06	8.83	1.524	0.0
2021-06-11	12:45:44	21.28	8.83	1.524	0.0
2021-06-11	13:00:50	21.33	8.83	1.524	0.0
2021-06-11	13:15:54	21.56	8.83	2.057	0.0
2021-06-11	13:30:57	21.56	8.83	2.057	0.0
2021-06-11	13:45:01	21.56	8.83	2.057	0.0
2021-06-11	14:00:05	21.56	8.83	2.057	2.4
2021-06-11	14:15:09	21.56	8.83	2.235	11.001
2021-06-11	14:30:12	21.56	8.83	2.235	23.0
2021-06-11	14:45:15	21.56	8.83	2.235	26.8
2021-06-11	15:00:19	21.56	8.83	2.235	27.201
2021-06-11	15:15:23	21.56	8.83	2.261	27.399
2021-06-11	15:30:26	21.56	8.83	2.261	27.399
2021-06-11	15:45:30	21.56	8.83	2.261	27.399
2021-06-11	16:00:34	21.56	8.83	2.261	27.399
2021-06-11	16:15:38	21.56	8.83	2.286	27.399
2021-06-11	16:30:41	21.56	8.83	2.286	27.6
2021-06-11	16:45:45	21.56	8.83	2.286	27.6
2021-06-11	17:00:49	21.56	8.83	2.286	27.6
2021-06-11	17:15:53	21.56	8.83	2.311	27.6
2021-06-11	17:30:57	21.56	8.83	2.311	27.6
2021-06-11	17:45:01	21.56	8.83	2.311	27.6
2021-06-11	18:00:05	21.56	8.83	2.311	27.6
2021-06-11	18:15:08	21.56	8.83	2.311	27.6
2021-06-11	18:30:13	21.56	8.83	2.311	27.6
2021-06-11	18:45:16	21.56	8.83	2.311	27.6
2021-06-11	19:00:20	21.56	8.83	2.311	27.6
2021-06-11	19:15:24	21.56	8.83	2.311	27.6
2021-06-11	19:30:28	21.56	8.83	2.311	27.6
2021-06-11	19:45:32	21.56	8.83	2.311	27.6
2021-06-11	20:00:35	21.56	8.83	2.311	27.6
2021-06-11	20:15:39	21.56	8.83	2.311	27.6
2021-06-11	20:30:43	21.56	8.83	2.311	27.6
2021-06-11	20:45:48	21.56	8.83	2.311	27.6
2021-06-11	21:00:52	21.56	8.83	2.311	27.6
2021-06-11	21:15:57	21.56	8.83	2.311	27.6
2021-06-11	21:30:01	21.56	8.83	2.311	27.6
2021-06-11	21:45:05	21.56	8.83	2.311	27.6
2021-06-11	22:00:08	21.56	8.83	2.311	27.6
2021-06-11	22:15:12	21.56	8.83	2.311	27.8
2021-06-11	22:30:16	21.56	8.83	2.311	27.8
2021-06-11	22:45:20	21.56	8.83	2.311	27.8
2021-06-11	23:00:21	21.56	8.83	2.311	27.8
2021-06-11	23:15:22	21.56	8.83	2.311	27.8
2021-06-11	23:30:23	21.56	8.83	2.311	27.8
2021-06-12	00:30:03	9.78	9.5	0.0	0.0
2021-06-12	00:33:03	9.78	9.5	0.0	0.0
2021-06-12	00:36:03	9.78	9.5	0.0	0.0
2021-06-12	00:39:03	9.78	9.5	0.0	0.0
2021-06-12	00:41:03	9.83	9.5	0.0	0.0
2021-06-12	00:49:04	9.89	9.5	0.0	0.0
2021-06-12	01:00:03	10.06	9.5	0.0	0.0
2021-06-12	01:15:03	10.28	9.5	0.0	0.0
2021-06-12	01:30:03	10.28	9.5	0.0	0.0
2021-06-12	01:45:03	10.28	9.5	0.0	0.0
